ensg,immune,erythroid,skeletal,vasculature
FBXO40,-0.017028066619316398,-0.13212691771579826,-0.13212691771579826,0.2812819020509129
HCLS1,3.251969031016448,-1.89998190466609,-1.9238408272970626,0.5718537009467051
GOLGB1,0.2296966121383166,-2.3678690990650306,0.7879266929045965,1.3502457940221184
IQCB1,0.3998379710343176,-0.6369386420120486,0.3254510532966064,-0.08835038231887538
EAF2,2.8678618276717303,-0.9556013832546704,-0.7953894660265148,-1.116870978390546
SLC15A2,1.7493203416868655,-1.2048237397709731,-0.08718721637563376,-0.4573093855402589
ILDR1,0.12179490674585786,0.010965404476308865,-0.06638015561108336,-0.06638015561108336
CD86,3.829032327513216,-1.5787655161101364,-0.4235983515013273,-1.8266684599017515
CSTA,4.214763790398207,-2.309776827816468,-0.8992645123204737,-1.005722450261266
CCDC58,-0.41409104623448023,0.04541108028987306,0.2723135403948702,0.0963664255497374
FAM162A,-0.2717145058656696,-1.78230257972133,1.5775989306797857,0.47641815490721307
WDR5B,-0.20952208389652793,-0.7032229892232069,0.7932787253118267,0.1194663478079081
AC083798.2,0.05828425992384956,-0.6663928909097039,0.6192234515763322,-0.011114820590477859
KPNA1,-0.0224799712603021,-0.13130765613494955,-0.24400107495632195,0.3977887023515727
PARP9,-0.3283699288269748,-0.2867090009149855,-0.1935654552761683,0.8086443850181286
DTX3L,-0.32363399020659855,-0.23953174491542306,-0.502595149052107,1.0657608841741286
PARP15,1.6157724831083022,-0.04209305438996136,-0.1901435508956686,-1.3835358778226723
PARP14,0.18042737939382558,-1.7985218413377186,0.11295435398296672,1.5051401079609272
HSPBAP1,1.082219454211062,-1.6405336720417454,0.31290050767697775,0.24541371015370617
DIRC2,0.8058246724316356,-1.7858250039292634,0.24695529603816668,0.7330450354594613
LINC02035,1.567919654664511,-2.047199851446745,0.29007826558949823,0.18920193119273643
SEMA5B,-1.1554921777622649,-1.0978144042311655,-0.8302564760193681,3.0835630580127984
PDIA5,-0.07951623181517142,-2.586314928776007,1.380193640150559,1.2856375204406199
SEC22A,-0.6752108037411992,-0.8554419056976679,0.9045318882910749,0.6261208211477927
AC112503.2,-0.08860136502445815,-0.10826915158075101,-0.10826915158075101,0.30513966818596017
