"DNAJC11",10,67,129,35,31,117,89,11,34,10,36,6,53,22,28,8,1,1,0,58,113,3,6,4,77,20
"CAMTA1-DT",0,1,1,0,0,1,3,0,1,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,1,0
"CAMTA1",79,526,349,509,121,556,530,12,263,87,396,103,432,295,184,52,51,28,2,187,766,28,60,31,646,143
"VAMP3",354,202,115,262,59,167,141,14,212,49,194,101,200,107,71,9,27,10,8,92,794,248,124,96,209,67
"PER3",2,31,8,92,1,4,11,0,29,5,12,39,32,31,4,7,9,5,0,14,33,1,4,0,22,5
"Z98884.1",2,2,2,0,1,1,3,0,0,0,0,3,3,0,1,1,1,0,0,0,5,0,0,0,2,0
"UTS2",37,154,9,4,4,3,13,1,2,65,45,14,269,0,14,16,78,14,0,12,135,34,10,17,22,9
"TNFRSF9",15,121,1,11,3,0,4,1,1,21,37,17,659,1,0,10,74,19,1,4,32,6,11,11,6,0
"PARK7",336,1750,1911,1498,647,1545,2174,106,484,327,1460,271,1894,578,1835,220,155,96,6,887,3041,138,218,94,2333,530
"AL034417.4",0,1,0,8,2,2,5,0,1,0,2,1,2,0,1,0,1,0,0,1,2,0,0,0,2,2
"AL034417.3",1,4,3,37,2,0,0,0,1,0,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,2
"ERRFI1",4,44,15,899,3,0,4,0,33,13,6,8,103,88,0,6,0,7,0,5,61,1,5,4,10,4
"AL034417.2",0,0,1,62,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0
"SLC45A1",0,4,0,2,0,0,1,0,10,0,0,1,4,9,0,0,0,0,0,0,1,0,0,0,0,1
"RERE",122,312,91,202,292,131,608,28,183,58,191,111,312,95,198,47,54,12,3,143,452,68,84,60,247,372
"AL096855.1",2,8,0,0,0,0,0,0,1,0,1,1,10,1,2,1,0,0,0,0,0,1,0,0,4,1
"ENO1",731,1960,651,1877,330,153,3733,45,503,314,2520,493,1513,346,482,394,222,107,25,4065,10052,324,909,144,1055,375
"ENO1-AS1",0,8,0,0,2,0,7,0,2,0,4,1,11,1,2,0,0,0,0,3,6,0,2,0,14,5
"CA6",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"SLC2A5",32,1,3,30,2,5,88,1,3,1,1,19,3,2,2,8,0,0,1,383,75,1,232,2,157,19
"GPR157",19,26,0,48,3,4,25,0,14,4,362,9,32,4,11,5,2,1,1,23,79,1,23,0,58,13
"MIR34AHG",0,1,0,7,3,1,3,0,5,0,9,2,2,4,0,1,1,0,0,0,2,1,0,0,32,0
"LINC01759",0,0,0,7,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0
"H6PD",135,166,16,214,97,11,117,1,117,26,46,47,146,27,37,15,19,7,2,136,231,49,103,24,75,72
"SPSB1",2,29,4,61,4,1,49,0,38,4,7,7,8,9,5,2,5,3,0,10,48,2,3,0,57,10
"AL928921.2",0,0,0,3,0,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0
"SLC25A33",12,138,82,92,108,31,244,3,42,35,247,36,171,49,56,10,37,21,0,78,358,7,13,6,168,104
"TMEM201",1,28,32,17,11,30,59,1,14,3,16,4,25,4,16,3,2,2,0,45,42,2,3,0,14,3
"PIK3CD",197,357,19,26,197,12,245,6,8,54,132,57,316,3,151,32,11,18,12,125,644,170,186,129,39,138
"PIK3CD-AS1",6,2,0,1,13,1,11,0,0,1,3,1,3,0,8,1,0,0,1,10,12,3,4,1,0,0
"PIK3CD-AS2",3,18,10,7,3,0,44,0,0,2,2,2,12,1,0,2,7,2,0,2,1,0,1,0,336,7
"CLSTN1",14,299,16,323,114,9,269,2,156,62,105,58,306,61,54,39,38,15,0,75,271,6,19,8,243,81
"CTNNBIP1",67,114,75,105,49,37,204,1,78,28,209,59,100,23,53,16,15,3,2,104,436,44,29,34,154,22
"LZIC",107,183,172,182,112,254,228,12,83,39,126,41,167,43,83,22,23,8,5,139,359,56,63,33,127,53
"NMNAT1",18,27,16,44,18,10,31,1,30,3,13,8,15,8,7,11,2,1,0,19,70,8,2,5,32,13
